date,name,market_open_status
14-01-2023,Makar Sankranti / Pongal,NO
26-01-2023,Republic Day,NO
15-08-2023,Independence Day,NO
02-10-2023,Gandhi Jayanti,NO
01-05-2023,Labour Day,NO
12-11-2023,Diwali,NO
08-03-2023,Holi,NO
28-07-2023,Day of Ashura* (*estimated),NO
27-09-2023,Mawlid* (*estimated),NO
21-04-2023,Eid ul-Fitr* (*estimated,NO
22-04-2023,Eid ul-Fitr* (*estimated),NO
28-06-2023,Eid al-Adha* (*estimated),NO
29-06-2023,Eid al-Adha* (*estimated),NO
02-04-2023,Palm Sunday,NO
07-04-2023,Good Friday,NO
09-04-2023,Easter Sunday,NO
28-05-2023,Feast of Pentecost,NO
25-12-2023,Christmas Day,NO
